Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire
CID_73879,Industrial,73879,C13H13P,200.22,3.1,0,0,0.0,CP(C1=CC=CC=C1)C2=CC=CC=C2,PubChem,,,,Structure_PubChem,200.221,2.7491,0,0,0.0,14,2,2,,,,,200.221
CID_74000,Industrial,74000,C8H8Cl2,175.05,3.6,0,0,0.0,C1=CC=C(C=C1)CC(Cl)Cl,PubChem,,,,Structure_PubChem,175.058,3.0328,0,0,0.0,10,1,2,,,,,175.058
CID_74118,Industrial,74118,C7H7BrMg,195.34,,0,2,0.0,[CH2-]C1=CC=CC=C1.[Mg+2].[Br-],PubChem,,,,Structure_PubChem,195.342,-1.508,0,0,0.0,9,1,0,,,,,195.342
CID_74126,Industrial,74126,C9H9Cl,152.62,3.1,0,0,0.0,C=CC1=CC=C(C=C1)CCl,PubChem,,,,Structure_PubChem,152.624,3.0684,0,0,0.0,10,1,2,,,,,152.624
CID_74148,Industrial,74148,C12H14,158.24,4.7,0,0,0.0,CC(=C)C1=CC=C(C=C1)C(=C)C,PubChem,,,,Structure_PubChem,158.244,3.7528,0,0,0.0,12,1,2,,,,,158.244
CID_74149,Industrial,74149,C10H15P,166.20,2.2,0,0,0.0,CCP(CC)C1=CC=CC=C1,PubChem,,,,Structure_PubChem,166.204,2.8336,0,0,0.0,11,1,3,,,,,166.204
CID_74167,Industrial,74167,C12H10Cl2Ge,297.7,,0,0,0.0,C1=CC=C(C=C1)[Ge](C2=CC=CC=C2)(Cl)Cl,PubChem,,,,Structure_PubChem,297.728,2.7206,0,0,0.0,15,2,2,,,,,297.728
CID_74207,Industrial,74207,C6H6Cl2Si,177.10,,0,0,0.0,C1=CC=C(C=C1)[SiH](Cl)Cl,PubChem,,,,Structure_PubChem,177.106,1.5917,0,0,0.0,9,1,1,,,,,177.106
CID_74210,Industrial,74210,C16H16,208.30,3.7,0,0,0.0,C1CC2=CC=C(CCC3=CC=C1C=C3)C=C2,PubChem,,,,Structure_PubChem,208.304,3.5704,0,0,0.0,16,6,0,,,,,208.304
CID_74426,Industrial,74426,C6H6O4S,174.18,0.8,1,4,72.0,C1=CC=C(C=C1)OS(=O)(=O)O,PubChem,,,,Structure_PubChem,174.177,0.8682,1,3,63.6,11,1,2,,,,,174.177
CID_74471,Industrial,74471,C6H8As2O6,325.97,,4,6,115.0,C1=CC=C(C(=C1)[As](=O)(O)O)[As](=O)(O)O,PubChem,,,,Structure_PubChem,325.968,-3.1914,4,2,115.06,14,1,2,,,,,325.968
CID_74555,Industrial,74555,C10H8O,144.17,2.2,0,1,17.1,CC(=O)C#CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,144.173,1.6271,0,1,17.07,11,1,0,,,,,144.173
CID_74573,Industrial,74573,C11H12,144.21,3.8,0,0,0.0,C#CCCCC1=CC=CC=C1,PubChem,,,,Structure_PubChem,144.217,2.6425,0,0,0.0,11,1,3,,,,,144.217
CID_74681,Industrial,74681,C18H22,238.4,5.9,0,0,0.0,CC(C)(C1=CC=CC=C1)C(C)(C)C2=CC=CC=C2,PubChem,,,,Structure_PubChem,238.374,4.942,0,0,0.0,18,2,3,,,,,238.374
CID_74708,Industrial,74708,C13H8O3,212.20,3.2,1,3,46.5,C1=CC=C2C(=C1)C(=O)C3=C(O2)C=CC(=C3)O,PubChem,,,,Structure_PubChem,212.204,2.6518,1,3,50.44,16,3,0,,,,,212.204
CID_74775,Industrial,74775,C6H4I2O2,361.90,1.9,2,2,40.5,C1=C(C=C(C(=C1I)O)I)O,PubChem,,,,Structure_PubChem,361.904,2.307,2,2,40.46,10,1,0,,,,,361.904
CID_74814,Industrial,74814,C6H4ClFO,146.54,2.5,1,2,20.2,C1=CC(=C(C=C1F)Cl)O,PubChem,,,,Structure_PubChem,146.548,2.1847,1,1,20.23,9,1,0,,,,,146.548
CID_74861,Industrial,74861,C7H8,100.19,2.7,0,0,0.0,[2H]C1=C(C(=C(C(=C1[2H])[2H])C([2H])([2H])[2H])[2H])[2H],PubChem,,,,Structure_PubChem,100.1898,1.995,0,0,0.0,7,1,0,,,,,100.1898
CID_74897,Industrial,74897,C10H11N,145.20,2.2,0,1,23.8,C1=CC=C(C=C1)CCCC#N,PubChem,,,,Structure_PubChem,145.205,2.5329,0,1,23.79,11,1,3,,,,,145.205
CID_75025,Industrial,75025,C12H9I,280.10,4.2,0,0,0.0,C1=CC=C(C=C1)C2=CC=CC=C2I,PubChem,,,,Structure_PubChem,280.108,3.9582,0,0,0.0,13,2,1,,,,,280.108
CID_75032,Industrial,75032,C12H10Cl2Pb,432,,0,0,0.0,C1=CC=C(C=C1)[Pb](C2=CC=CC=C2)(Cl)Cl,PubChem,,,,Structure_PubChem,432.318,2.7206,0,0,0.0,15,2,2,,,,,432.318
CID_75077,Industrial,75077,C8H8O4,168.15,2.6,2,4,66.8,COC(=O)C1=C(C=CC(=C1)O)O,PubChem,,,,Structure_PubChem,168.148,0.8844,2,4,66.76,12,1,1,,,,,168.148
CID_75083,Industrial,75083,C14H13P,212.23,3.5,0,0,0.0,C=CP(C1=CC=CC=C1)C2=CC=CC=C2,PubChem,,,,Structure_PubChem,212.232,3.2628,0,0,0.0,15,2,3,,,,,212.232
CID_75182,Industrial,75182,C13H10O3,214.22,3.9,1,3,46.5,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O,PubChem,,,,Structure_PubChem,214.22,3.1771,1,2,46.53,16,2,3,,,,,214.22
CID_75231,Industrial,75231,C8H8O4,168.15,2,2,4,66.8,COC1=CC(=C(C=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,168.148,1.099,2,3,66.76,12,1,2,,,,,168.148
CID_75280,Industrial,75280,C12H10OSn,288.92,,0,1,17.1,C1=CC=C(C=C1)[Sn](=O)C2=CC=CC=C2,PubChem,,,,Structure_PubChem,288.922,1.2228,0,1,17.07,14,2,2,,,,,288.922
CID_75355,Industrial,75355,C9H8,116.16,2.6,0,0,0.0,C=C=CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,116.163,2.4847,0,0,0.0,9,1,1,,,,,116.163
CID_75484,Industrial,75484,C8H8O4,168.15,1.5,2,4,66.8,COC(=O)C1=C(C(=CC=C1)O)O,PubChem,,,,Structure_PubChem,168.148,0.8844,2,4,66.76,12,1,1,,,,,168.148
